list number , list elements of sort 
0 , 19 
1 , 18 
2 , 12 
3 , 20 
4 , 21 
5 , 10 
6 , 18 
7 , 14 
8 , 17 
9 , 12 
10 , 14 
11 , 12 
12 , 12 
13 , 18 
14 , 18 
15 , 21 
16 , 13 
17 , 20 
18 , 19 
19 , 17 
20 , 27 
21 , 13 
22 , 23 
23 , 14 
24 , 25 
25 , 20 
26 , 20 
27 , 18 
28 , 17 
29 , 12 
30 , 20 
31 , 21 
32 , 21 
33 , 25 
34 , 19 
35 , 16 
36 , 12 
37 , 22 
38 , 14 
39 , 8 
40 , 10 
41 , 13 
42 , 12 
43 , 16 
44 , 12 
45 , 11 
46 , 18 
47 , 19 
48 , 14 
49 , 17 
50 , 19 
51 , 22 
52 , 21 
53 , 11 
54 , 18 
55 , 17 
56 , 11 
57 , 25 
58 , 22 
59 , 21 
60 , 23 
61 , 22 
62 , 17 
63 , 12 
64 , 23 
65 , 12 
66 , 19 
67 , 15 
68 , 19 
69 , 20 
70 , 15 
71 , 20 
72 , 15 
73 , 20 
74 , 20 
75 , 25 
76 , 19 
77 , 17 
78 , 21 
79 , 20 
80 , 25 
81 , 20 
82 , 19 
83 , 18 
84 , 27 
85 , 21 
86 , 17 
87 , 17 
88 , 21 
89 , 20 
90 , 16 
91 , 22 
92 , 24 
93 , 18 
94 , 15 
95 , 24 
96 , 15 
97 , 13 
98 , 15 
99 , 18 
100 , 28 
101 , 19 
102 , 13 
103 , 20 
104 , 26 
105 , 24 
106 , 22 
107 , 21 
108 , 18 
109 , 16 
110 , 26 
111 , 26 
112 , 11 
113 , 25 
114 , 10 
115 , 30 
116 , 20 
117 , 19 
118 , 16 
119 , 19 
120 , 13 
121 , 18 
122 , 13 
123 , 14 
124 , 24 
125 , 24 
126 , 14 
127 , 17 
128 , 25 
129 , 20 
130 , 21 
131 , 21 
132 , 20 
133 , 14 
134 , 21 
135 , 23 
136 , 22 
137 , 16 
138 , 21 
139 , 24 
140 , 16 
141 , 19 
142 , 22 
143 , 23 
144 , 16 
145 , 29 
146 , 24 
147 , 17 
148 , 21 
149 , 30 
150 , 25 
151 , 18 
152 , 20 
153 , 30 
154 , 16 
155 , 14 
156 , 22 
157 , 13 
158 , 18 
159 , 25 
160 , 23 
161 , 24 
162 , 18 
163 , 20 
164 , 26 
165 , 10 
166 , 23 
167 , 21 
168 , 20 
169 , 20 
170 , 17 
171 , 18 
172 , 23 
173 , 18 
174 , 14 
175 , 16 
176 , 16 
177 , 26 
178 , 16 
179 , 28 
180 , 20 
181 , 26 
182 , 24 
183 , 23 
184 , 22 
185 , 16 
186 , 15 
187 , 16 
188 , 15 
189 , 11 
190 , 8 
191 , 21 
192 , 6 
193 , 12 
194 , 20 
195 , 22 
196 , 19 
197 , 25 
198 , 21 
199 , 13 
200 , 18 
201 , 17 
202 , 20 
203 , 19 
204 , 14 
205 , 15 
206 , 17 
207 , 19 
208 , 19 
209 , 15 
210 , 19 
211 , 21 
212 , 22 
213 , 14 
214 , 19 
215 , 11 
216 , 11 
217 , 14 
218 , 21 
219 , 22 
220 , 22 
221 , 25 
222 , 16 
223 , 16 
224 , 21 
225 , 12 
226 , 16 
227 , 25 
228 , 20 
229 , 15 
230 , 33 
231 , 29 
232 , 19 
233 , 16 
234 , 22 
235 , 24 
236 , 18 
237 , 20 
238 , 28 
239 , 12 
240 , 18 
241 , 27 
242 , 19 
243 , 25 
244 , 25 
245 , 22 
246 , 16 
247 , 19 
248 , 16 
249 , 16 
250 , 18 
251 , 16 
252 , 26 
253 , 18 
254 , 19 
255 , 15 
256 , 19 
257 , 10 
258 , 16 
259 , 13 
260 , 15 
261 , 14 
262 , 20 
263 , 16 
264 , 27 
265 , 18 
266 , 21 
267 , 19 
268 , 28 
269 , 17 
270 , 29 
271 , 21 
272 , 13 
273 , 18 
274 , 29 
275 , 16 
276 , 15 
277 , 16 
278 , 22 
279 , 17 
280 , 23 
281 , 13 
282 , 22 
283 , 11 
284 , 12 
285 , 10 
286 , 15 
287 , 19 
288 , 13 
289 , 23 
290 , 19 
291 , 15 
292 , 16 
293 , 16 
294 , 20 
295 , 27 
296 , 17 
297 , 24 
298 , 15 
299 , 18 
300 , 21 
301 , 29 
302 , 23 
303 , 15 
304 , 20 
305 , 16 
306 , 23 
307 , 15 
308 , 18 
309 , 18 
310 , 26 
311 , 18 
312 , 26 
313 , 19 
314 , 17 
315 , 20 
316 , 26 
317 , 18 
318 , 16 
319 , 20 
320 , 21 
321 , 20 
322 , 17 
323 , 20 
324 , 19 
325 , 18 
326 , 17 
327 , 13 
328 , 24 
329 , 11 
330 , 15 
331 , 22 
332 , 17 
333 , 18 
334 , 17 
335 , 23 
336 , 16 
337 , 14 
338 , 16 
339 , 19 
340 , 16 
341 , 7 
342 , 19 
343 , 10 
344 , 17 
345 , 15 
346 , 24 
347 , 13 
348 , 18 
349 , 13 
350 , 7 
351 , 20 
352 , 16 
353 , 14 
354 , 23 
355 , 18 
356 , 23 
357 , 13 
358 , 18 
359 , 19 
360 , 18 
361 , 14 
362 , 23 
363 , 18 
364 , 24 
365 , 18 
366 , 25 
367 , 16 
368 , 19 
369 , 19 
370 , 12 
371 , 15 
372 , 16 
373 , 14 
374 , 16 
375 , 17 
376 , 15 
377 , 29 
378 , 23 
379 , 17 
380 , 16 
381 , 12 
382 , 15 
383 , 12 
384 , 10 
385 , 9 
386 , 21 
387 , 15 
388 , 18 
389 , 20 
390 , 17 
391 , 15 
392 , 13 
393 , 15 
394 , 17 
395 , 13 
396 , 20 
397 , 12 
398 , 23 
399 , 14 
400 , 20 
401 , 18 
402 , 27 
403 , 11 
404 , 17 
405 , 13 
406 , 24 
407 , 15 
408 , 17 
409 , 13 
410 , 15 
411 , 19 
412 , 14 
413 , 14 
414 , 11 
415 , 13 
416 , 19 
417 , 15 
418 , 18 
419 , 9 
420 , 19 
421 , 7 
422 , 27 
423 , 14 
424 , 23 
425 , 11 
426 , 19 
427 , 18 
428 , 16 
429 , 7 
430 , 15 
431 , 16 
432 , 14 
433 , 13 
434 , 18 
435 , 9 
436 , 23 
437 , 18 
438 , 22 
439 , 13 
440 , 20 
441 , 21 
442 , 14 
443 , 15 
444 , 23 
445 , 15 
446 , 21 
447 , 14 
448 , 27 
