list number , list elements of sort 
0 , 4 
1 , 6 
2 , 3 
3 , 1 
4 , 3 
5 , 6 
6 , 4 
7 , 2 
8 , 0 
9 , 2 
10 , 2 
11 , 7 
12 , 1 
13 , 8 
14 , 1 
15 , 3 
16 , 5 
17 , 3 
18 , 4 
19 , 3 
20 , 2 
21 , 4 
22 , 4 
23 , 6 
24 , 5 
25 , 7 
26 , 4 
27 , 8 
28 , 3 
29 , 3 
30 , 5 
31 , 4 
32 , 2 
33 , 3 
34 , 3 
35 , 3 
36 , 5 
37 , 4 
38 , 4 
39 , 7 
40 , 2 
41 , 5 
42 , 4 
43 , 3 
44 , 2 
45 , 5 
46 , 3 
47 , 5 
48 , 2 
49 , 5 
50 , 8 
51 , 9 
52 , 4 
53 , 3 
54 , 3 
55 , 4 
56 , 4 
57 , 2 
58 , 1 
59 , 3 
60 , 3 
61 , 3 
62 , 7 
63 , 2 
64 , 6 
65 , 4 
66 , 3 
67 , 7 
68 , 6 
69 , 2 
70 , 4 
71 , 7 
72 , 4 
73 , 3 
74 , 4 
75 , 2 
76 , 7 
77 , 3 
78 , 4 
79 , 7 
80 , 9 
81 , 5 
82 , 5 
83 , 3 
84 , 5 
85 , 4 
86 , 2 
87 , 4 
88 , 5 
89 , 0 
90 , 5 
91 , 7 
92 , 2 
93 , 7 
94 , 3 
95 , 4 
96 , 3 
97 , 5 
98 , 3 
99 , 3 
100 , 8 
101 , 4 
102 , 6 
103 , 2 
104 , 4 
105 , 8 
106 , 3 
107 , 3 
108 , 4 
109 , 6 
110 , 6 
111 , 8 
112 , 6 
113 , 3 
114 , 1 
115 , 2 
116 , 6 
117 , 6 
118 , 3 
119 , 2 
120 , 3 
121 , 4 
122 , 5 
123 , 5 
124 , 1 
125 , 6 
126 , 5 
127 , 3 
128 , 8 
129 , 8 
130 , 3 
131 , 3 
132 , 3 
133 , 3 
134 , 2 
135 , 8 
136 , 3 
137 , 10 
138 , 1 
139 , 6 
140 , 3 
141 , 3 
142 , 3 
143 , 1 
144 , 4 
145 , 4 
